movie_id,description,language,released,rating,writer,director,cast,genre,name
"tt6040012","The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian...","[ ""Hindi"" ]",2016-10-07T00:00:00.000Z,9.0,"[ ""Saint Gurmeet Ram Rahim Singh Ji Insan"" ]","[ ""Saint Gurmeet Ram Rahim Singh Ji Insan"" ]","[ ""Ashok Insan"", ""Bhushan Insan"", ""Charanpreet Insan"", ""Garima Insan"", ""Kainaat Insan"", ""Rajesh Insan"", ""Saint Gurmeet Ram Rahim Singh Ji Insan"", ""Sukhottam Insan"" ]","[ ""Adventure"", ""Drama"" ]","MSG the Warrior: Lion Heart"
"tt3495026","Gaurav, a huge fan of movie star Aryan Khanna, heads to Mumbai in order to wish his God a happy birthday. When things don't go according to plan, Gaurav's obsession with Aryan crosses the line.","[ ""Hindi"" ]",2016-04-15T00:00:00.000Z,7.5,"[ ""Maneesh Sharma"", ""Habib Faisal"" ]","[ ""Maneesh Sharma"" ]","[ ""Shah Rukh Khan"", ""Sayani Gupta"", ""Chris Martin Hill"", ""Paul Blackwell"", ""Lee Nicholas Harris"", ""Zachary Coffin"", ""Noni Harrison"", ""Farah Ahmed"", ""Gino Picciano"", ""Jack Gover"", ""Mariola Jaworska"", ""Shriya Pilgaonkar"", ""Raj Awasti"", ""Gioacchino Jim Cuffaro"", ""Miroslav Zaruba"" ]","[ ""Action"", ""Drama"", ""Thriller"" ]","Fan"
"tt4387040","When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","[ ""Hindi"", ""Arabic"", ""Malayalam"" ]",2016-01-22T00:00:00.000Z,8.4,"[ ""Raja Menon"", ""Ritesh Shah"" ]","[ ""Raja Menon"" ]","[ ""Akshay Kumar"", ""Nimrat Kaur"", ""Kumud Mishra"", ""Prakash Belawadi"", ""Inaamulhaq"", ""Lena"", ""Nissar Khan"", ""Ninad Kamat"", ""Kaizaad Kotwal"", ""Feryna Wazheir"", ""Ajay Kumar"", ""Purab Kohli"", ""Gunjan Malhotra"", ""Pooja Nair"", ""Taranjit Kaur"" ]","[ ""Action"", ""Drama"", ""History"" ]","Airlift"
"tt0075860","After an encounter with U.F.O.s, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.","[ ""English"", ""French"", ""Spanish"", ""Hindi"" ]",1977-12-14T00:00:00.000Z,7.7,"[ ""Steven Spielberg"" ]","[ ""Steven Spielberg"" ]","[ ""Richard Dreyfuss"", ""Franois Truffaut"", ""Teri Garr"", ""Melinda Dillon"", ""Bob Balaban"", ""J. Patrick McNamara"", ""Warren J. Kemmerling"", ""Roberts Blossom"", ""Philip Dodds"", ""Cary Guffey"", ""Shawn Bishop"", ""Adrienne Campbell"", ""Justin Dreyfuss"", ""Lance Henriksen"", ""Merrill Connally"" ]","[ ""Drama"", ""Sci-Fi"" ]","Close Encounters of the Third Kind"
"tt1187043","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","[ ""Hindi"", ""English"" ]",2009-12-25T00:00:00.000Z,8.4,"[ ""Rajkumar Hirani"", ""Abhijat Joshi"" ]","[ ""Rajkumar Hirani"" ]","[ ""Aamir Khan"", ""Madhavan"", ""Sharman Joshi"", ""Kareena Kapoor"", ""Boman Irani"", ""Omi Vaidya"", ""Mona Singh"", ""Javed Jaffrey"", ""Parikshat Sahni"", ""Olivier Lafont"", ""Rahul Kumar"", ""Amardeep Jha"", ""Farida Dadi"", ""Mukund Bhatt"", ""Chaitali Bose"" ]","[ ""Comedy"", ""Drama"" ]","3 Idiots"
"tt4169250","The untold story of","[ ""Hindi"" ]",2016-09-30T00:00:00.000Z,8.199999999999999,"[ ""Neeraj Pandey"", ""Dilip Jha"" ]","[ ""Neeraj Pandey"" ]","[ ""Disha Patani"", ""Sushant Singh Rajput"", ""Anupam Kher"", ""Kiara Advani"", ""Kumud Mishra"", ""Bhoomika Chawla"", ""Rajesh Sharma"", ""Herry Tangiri"", ""Kali Prasad Mukherjee"", ""Kranti Prakash Jha"", ""Brijendra Kala"", ""Zeeshaan"", ""Mukesh Bhatt"", ""Sarvadaman Banerjee"", ""Joginder Sharma"" ]","[ ""Biography"", ""Drama"", ""Sport"" ]","M.S. Dhoni: The Untold Story"
"tt1010048","A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""","[ ""English"", ""Hindi"", ""French"" ]",2008-12-25T00:00:00.000Z,8.0,"[ ""Simon Beaufoy"", ""Vikas Swarup"" ]","[ ""Danny Boyle"", ""Loveleen Tandan"" ]","[ ""Dev Patel"", ""Saurabh Shukla"", ""Anil Kapoor"", ""Rajendranath Zutshi"", ""Jeneva Talwar"", ""Freida Pinto"", ""Irrfan Khan"", ""Azharuddin Mohammed Ismail"", ""Ayush Mahesh Khedekar"", ""Jira Banjara"", ""Sheikh Wali"", ""Mahesh Manjrekar"", ""Sanchita Choudhary"", ""Himanshu Tyagi"", ""Sharib Hashmi"" ]","[ ""Drama"" ]","Slumdog Millionaire"
"tt0454876","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","[ ""English"", ""Tamil"", ""French"", ""Japanese"", ""Hindi"", ""Chinese"" ]",2012-11-21T00:00:00.000Z,8.0,"[ ""Yann Martel"", ""David Magee"" ]","[ ""Ang Lee"" ]","[ ""Suraj Sharma"", ""Irrfan Khan"", ""Ayush Tandon"", ""Gautam Belur"", ""Adil Hussain"", ""Tabu"", ""Ayaan Khan"", ""Mohd. Abbas Khaleeli"", ""Vibish Sivakumar"", ""Rafe Spall"", ""Grard Depardieu"", ""James Saito"", ""Jun Naito"", ""Andrea Di Stefano"", ""Shravanthi Sainath"" ]","[ ""Adventure"", ""Drama"", ""Fantasy"" ]","Life of Pi"
"tt3741834","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.","[ ""English"", ""Bengali"", ""Hindi"" ]",2016-11-25T00:00:00.000Z,7.5,"[ ""Saroo Brierley"", ""Larry Buttrose"" ]","[ ""Garth Davis"" ]","[ ""Rooney Mara"", ""Nicole Kidman"", ""Dev Patel"", ""David Wenham"", ""Nawazuddin Siddiqui"", ""Aditya Roy Kapoor"", ""Tannishtha Chatterjee"", ""Pallavi Sharda"", ""Eamon Farren"", ""Priyanka Bose"", ""Benjamin Rigby"", ""Menik Gooneratne"", ""Sunny Pawar"", ""Deepti Naval"", ""Emilie Cocquerel"" ]","[ ""Drama"" ]","Lion"
"tt5571734","When three young women are implicated in a crime; a retired lawyer steps forward to help them clear their names.","[ ""Hindi"" ]",2016-09-16T00:00:00.000Z,8.6,"[ ""Aniruddha Roy Chowdhury"", ""Ritesh Shah"" ]","[ ""Aniruddha Roy Chowdhury"" ]","[ ""Tapsee Pannu"", ""Kirti Kulhari"", ""Andrea Tariang"", ""Amitabh Bachchan"", ""Piyush Mishra"", ""Angad Bedi"", ""Vijay Varma"", ""Raashul Tandon"", ""Tushar Pandey"", ""Dhritiman Chatterjee"", ""Mamata Shankar"", ""Amit Baisoya"", ""S.K. Batra"", ""Prashant Bhagia"", ""Arjun Chakraborty"" ]","[ ""Drama"", ""Thriller"" ]","Pink"
"tt5713232","A man named Nirmal loses his family in a man-made disaster, he starts the journey of seeking answers asking for accountability which urges him to take revenge.","[ ""Hindi"" ]",2016-07-22T00:00:00.000Z,7.8,"[ ""Shailja Kejriwal"", ""Ritesh Shah"" ]","[ ""Nishikant Kamat"" ]","[ ""Irrfan Khan"", ""Jimmy Shergill"", ""Vishesh Bansal"", ""Tushar Dalvi"", ""Nitish Pandey"", ""Kedar Bagaria"", ""Manoj Bakshi"", ""Sunil Bedi"", ""Rajat Bhalla"", ""Satyajit Bhattacharya"", ""Akash Dabas"", ""Jitendra Gupta"", ""Rajiv Gupta"", ""Vikas Jain"", ""Sadhil Kapoor"" ]","[ ""Adventure"", ""Crime"", ""Drama"" ]","Madaari"
"tt0367110","A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.","[ ""Hindi"", ""English"" ]",2004-12-17T00:00:00.000Z,8.300000000000001,"[ ""M.G. Sathya"", ""Ashutosh Gowariker"" ]","[ ""Ashutosh Gowariker"" ]","[ ""Shah Rukh Khan"", ""Gayatri Joshi"", ""Kishori Balal"", ""Smith Seth"", ""Lekh Tandon"", ""Rajesh Vivek"", ""Daya Shankar Pandey"", ""Farrukh Jaffar"", ""Vishnudutt Gaur"", ""Raja Awasthi"", ""Vishwa S. Badola"", ""Bhim Vakani"", ""Rahul Vohra"", ""Rajesh Balwani"", ""Bachan Pachehra"" ]","[ ""Drama"" ]","Swades"
"tt0292490","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","[ ""Hindi"", ""English"", ""Urdu"" ]",2001-07-24T00:00:00.000Z,8.199999999999999,"[ ""Kassim Jagmagia"", ""Farhan Akhtar"" ]","[ ""Farhan Akhtar"" ]","[ ""Aamir Khan"", ""Saif Ali Khan"", ""Akshaye Khanna"", ""Preity Zinta"", ""Sonali Kulkarni"", ""Dimple Kapadia"", ""Ayub Khan"", ""Rajat Kapoor"", ""Suhasini Mulay"", ""Ahmed Khan"", ""Suchitra Pillai"", ""Anjula Bedi"", ""Rakesh Pandey"", ""Samantha Tremayne"", ""Mandala Tayde"" ]","[ ""Comedy"", ""Drama"", ""Romance"" ]","Dil Chahta Hai"
"tt1280558","A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.","[ ""Hindi"", ""English"" ]",2008-09-05T00:00:00.000Z,8.5,"[ ""Neeraj Pandey"", ""Neeraj Pandey"" ]","[ ""Neeraj Pandey"" ]","[ ""Anupam Kher"", ""Naseeruddin Shah"", ""Jimmy Shergill"", ""Deepal Shaw"", ""Aamir Bashir"", ""Kali Prasad Mukherjee"", ""Mukesh Bhatt"", ""Gaurav Kapoor"", ""Chetan Pandit"", ""Veerendra Saxena"", ""Snehal Dabi"", ""Rohitashv Gour"", ""Vijay Bhatia"", ""Aayam Mehta"", ""Rajendra Chawla"" ]","[ ""Crime"", ""Drama"", ""Mystery"" ]","A Wednesday"
"tt4934950","An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.","[ ""Hindi"", ""English"" ]",2015-10-02T00:00:00.000Z,8.4,"[ ""Vishal Bhardwaj"", ""Aditya Nimbalkar"" ]","[ ""Meghna Gulzar"" ]","[ ""Irrfan Khan"", ""Konkona Sen Sharma"", ""Neeraj Kabi"", ""Sohum Shah"", ""Atul Kumar"", ""Gajraj Rao"", ""Prakash Belawadi"", ""Shishir Sharma"", ""Sakshi Bhatia"", ""Sumit Gulati"", ""Somen Mishra"", ""Alisha Parveen"", ""Kundan Roy"", ""Jaspal Sharma"", ""Neyha Sharma"" ]","[ ""Biography"", ""Crime"", ""Drama"" ]","Talvar"
"tt0457655","A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.","[ ""Danish"", ""Swedish"", ""English"", ""Hindi"" ]",2007-05-11T00:00:00.000Z,7.8,"[ ""Susanne Bier"", ""Anders Thomas Jensen"" ]","[ ""Susanne Bier"" ]","[ ""Mads Mikkelsen"", ""Neeral Mulchandani"", ""Tanya Sharma"", ""Swini Khara"", ""Meenal Patel"", ""Vallabh Gada"", ""Hitesh Kotak"", ""Suhita Thatte"", ""Rolf Lassgrd"", ""Dispesh Mistry"", ""Shivam Vichare"", ""Frederik Gullits Ernst"", ""Kristian Gullits Ernst"", ""Sidse Babett Knudsen"", ""Mona Malm"" ]","[ ""Drama"" ]","After the Wedding"
"tt1839596","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.","[ ""Hindi"" ]",2011-11-11T00:00:00.000Z,7.6,"[ ""Imtiaz Ali"", ""Muazzam Beg"" ]","[ ""Imtiaz Ali"" ]","[ ""Ranbir Kapoor"", ""Nargis Fakhri"", ""Shammi Kapoor"", ""Kumud Mishra"", ""Piyush Mishra"", ""Shernaz Patel"", ""Aditi Rao Hydari"", ""Sanjana Sanghi"", ""Shikha Jain"", ""Jaideep Ahlawat"", ""Moufid Aziz"", ""Aakash Dahiya"", ""Sushil Dahiya"", ""Ram Menon"", ""Rajinder Sharma Nanu"" ]","[ ""Drama"", ""Music"", ""Musical"" ]","Rockstar"
"tt2082197","Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.","[ ""Hindi"" ]",2012-09-14T00:00:00.000Z,8.199999999999999,"[ ""Anurag Basu"", ""Tani Basu"" ]","[ ""Anurag Basu"" ]","[ ""Ranbir Kapoor"", ""Priyanka Chopra"", ""Ileana D'Cruz"", ""Saurabh Shukla"", ""Rupa Ganguly"", ""Ashish Vidyarthi"", ""Bholaraj Sapkota"", ""Jishu Sengupta"", ""Haradhan Bannerjee"", ""Akash Khurana"", ""Arun Bali"", ""Uday Tikekar"", ""Preiti Mamgain"", ""Sumona Chakravarti"", ""Sujata Sehgal"" ]","[ ""Adventure"", ""Comedy"", ""Drama"" ]","Barfi!"
"tt1562872","Three friends decide to turn their fantasy vacation into reality after one of their number becomes engaged.","[ ""Hindi"", ""Japanese"", ""Spanish"", ""English"" ]",2011-07-15T00:00:00.000Z,8.1,"[ ""Farhan Akhtar"", ""Reema Kagti"" ]","[ ""Zoya Akhtar"" ]","[ ""Katrina Kaif"", ""Hrithik Roshan"", ""Naseeruddin Shah"", ""Farhan Akhtar"", ""Aditya Roy Kapoor"", ""Kalki Koechlin"", ""Abhay Deol"", ""Ariadna Cabrol"", ""Mandi Sidhu"", ""Deepti Naval"", ""Raaghav Chanana"", ""Anisa Butt"", ""Nandini Sen"", ""Suhel Seth"", ""Anisa"" ]","[ ""Adventure"", ""Comedy"", ""Drama"" ]","Zindagi Na Milegi Dobara"
"tt0433416","American-born Gogol, the son of Indian immigrants, wants to fit in among his fellow New Yorkers, despite his family's unwillingness to let go of their traditional ways.","[ ""English"", ""Hindi"", ""Bengali"", ""French"" ]",2007-04-06T00:00:00.000Z,7.6,"[ ""Sooni Taraporevala"", ""Jhumpa Lahiri"" ]","[ ""Mira Nair"" ]","[ ""Kal Penn"", ""Tabu"", ""Irrfan Khan"", ""Jacinda Barrett"", ""Zuleikha Robinson"", ""Brooke Smith"", ""Sahira Nair"", ""Jagannath Guha"", ""Ruma Guha Thakurta"", ""Sandip Deb"", ""Sukanya"", ""Tanushree Shankar"", ""Sabyasachi Chakraborty"", ""Tamal Ray Chowdhury"", ""Dhruv Mookerji"" ]","[ ""Drama"" ]","The Namesake"
"tt0986264","An eight-year-old boy is thought to be lazy and a trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","[ ""Hindi"", ""English"" ]",2007-12-21T00:00:00.000Z,8.5,"[ ""Amole Gupte"", ""Amole Gupte"" ]","[ ""Aamir Khan"", ""Amole Gupte"" ]","[ ""Darsheel Safary"", ""Aamir Khan"", ""Tanay Chheda"", ""Sachet Engineer"", ""Tisca Chopra"", ""Vipin Sharma"", ""Lalitha Lajmi"", ""Girija Oak"", ""Ravi Khanvilkar"", ""Pratima Kulkarni"", ""Meghna Malik"", ""Sonali Sachdev"", ""Sanjay Dadich"", ""Raaj Gopal Iyer"", ""Bugs Bhargava"" ]","[ ""Drama"", ""Family"", ""Music"" ]","Taare Zameen Par"
"tt0367495","Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.","[ ""Tamil"", ""Hindi"" ]",2003-01-14T00:00:00.000Z,9.0,"[ ""Kamal Haasan"", ""Madan"" ]","[ ""Sundar C."" ]","[ ""Kamal Haasan"", ""Madhavan"", ""Kiran Rathod"", ""Nassar"", ""Santhana Bharathi"", ""Uma Riyaz Khan"", ""Yugi Sethu"", ""Ilavarasu"", ""Balu Anand"", ""Seema"", ""R.S. Shivaji"", ""Laxmi Rattan"", ""Chelladurai"", ""Hillaary"", ""Jacob"" ]","[ ""Adventure"", ""Comedy"", ""Drama"" ]","Anbe Sivam"
"tt0109117","Two slackers competing for the affections of an heiress, inadvertently become her protectors from an evil criminal.","[ ""Hindi"" ]",1994-11-04T00:00:00.000Z,8.699999999999999,"[ ""Rajkumar Santoshi"", ""Rajkumar Santoshi"" ]","[ ""Rajkumar Santoshi"" ]","[ ""Aamir Khan"", ""Salman Khan"", ""Raveena Tandon"", ""Karisma Kapoor"", ""Paresh Rawal"", ""Viju Khote"", ""Shehzad Khan"", ""Mehmood"", ""Deven Verma"", ""Jagdeep"", ""Tiku Talsania"", ""Suresh Bhagwat"", ""Harish Patel"", ""Javed Khan"", ""Anand Mishra"" ]","[ ""Comedy"", ""Family"", ""Romance"" ]","Andaz Apna Apna"
"tt0405508","The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom.","[ ""Hindi"", ""Panjabi"", ""English"" ]",2006-01-26T00:00:00.000Z,8.4,"[ ""Renzil D'Silva"", ""Prasoon Joshi"" ]","[ ""Rakeysh Omprakash Mehra"" ]","[ ""Aamir Khan"", ""Siddharth"", ""Sharman Joshi"", ""Kunal Kapoor"", ""Atul Kulkarni"", ""Alice Patten"", ""Soha Ali Khan"", ""Steven Mackintosh"", ""Madhavan"", ""Waheeda Rehman"", ""Anupam Kher"", ""Kiron Kher"", ""Om Puri"", ""Lekh Tandon"", ""Cyrus Sahukar"" ]","[ ""Comedy"", ""Drama"", ""History"" ]","Rang De Basanti"
"tt4430212","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","[ ""Hindi"" ]",2015-07-31T00:00:00.000Z,8.699999999999999,"[ ""Jeethu Joseph"", ""Upendra Sidhaye"" ]","[ ""Nishikant Kamat"" ]","[ ""Ajay Devgn"", ""Shriya Saran"", ""Tabu"", ""Rajat Kapoor"", ""Ishita Dutta"", ""Mrunal Jadhav"", ""Prasanna Ketkar"", ""Yogesh Sonam"", ""Prathamesh Parab"", ""Rishabh Chaddha"", ""Ashish Warang"", ""Anil Nagarkar"", ""Tarun Shukla"", ""Smita Inamdar"", ""Sanjay Bhatia"" ]","[ ""Crime"", ""Drama"", ""Mystery"" ]","Drishyam"
"tt4635372","Four lives intersect along the Ganges: a low caste boy hopelessly in love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and...","[ ""Hindi"" ]",2015-07-24T00:00:00.000Z,8.199999999999999,"[ ""Varun Grover"" ]","[ ""Neeraj Ghaywan"" ]","[ ""Richa Chadha"", ""Sanjay Mishra"", ""Vicky Kaushal"", ""Pankaj Tripathy"", ""Vinit Kumar"", ""Bhagwan Tiwari"", ""Bhupesh Singh"", ""Satya Kam Anand"", ""Mohit Abrol"", ""Deepak Agarwal"", ""Harsh Agarwal"", ""Manish Agrahari"", ""Jamal Ahmad"", ""Ana"", ""Aalok Bhat"" ]","[ ""Drama"", ""Romance"" ]","Masaan"
"tt2350496","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.","[ ""Hindi"", ""English"" ]",2013-09-20T00:00:00.000Z,7.8,"[ ""Ritesh Batra"", ""Vasan Bala"" ]","[ ""Ritesh Batra"" ]","[ ""Irrfan Khan"", ""Nimrat Kaur"", ""Nawazuddin Siddiqui"", ""Lillete Dubey"", ""Nakul Vaid"", ""Bharti Achrekar"", ""Yashvi Puneet Nagar"", ""Denzil Smith"", ""Shruti Bapna"", ""Nasir Khan"", ""Lokesh Raj"", ""Sadashiv Kondaji Pokarkar"", ""Aarti Rathod"", ""Krishna Bai"", ""Raj Rishi More"" ]","[ ""Drama"", ""Romance"" ]","The Lunchbox"
