_id,languages,job,state,dob,gender
"Akash28","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","28-11-1998","Male"
"Akash869","[ ""Hindi"" ]","Service","Haryana","06-04-1969","Male"
"Akshat","[ ""Hindi"" ]","Student","Delhi","10-03-1998","Male"
"Akshay Thakur","[ ""Bengali"", ""Punjabi"", ""Tamil"", ""Telugu"", ""Kannada"", ""Bhojpuri"", ""Malayalam"", ""Gujarati"", ""Haryanvi"", ""Marathi"", ""Konkani"", ""Manipuri"", ""Oriya"", ""Nepali"", ""Rajasthani"", ""Urdu"", ""Assamese"" ]","Service","Delhi","05-12-1993","Male"
"Alka","[ ""Hindi"" ]","Student","Delhi","16-10-1997","Female"
"AlkaGupta","[ ""Hindi"" ]","Student","Delhi","30-09-1971","Female"
"Alok Singh","[ ""Hindi"" ]","Student","Delhi","24-05-1998","Male"
"Amandeep","[ ""Hindi"" ]","Service","Jammu & Kashmir","03-03-1993","Male"
"Amitjain ","[ ""Hindi"" ]","Self-employed","Delhi","29-10-1964","Male"
"Anil","[ ""Hindi"" ]","Service","Haryana","01-05-1963","Male"
"Anil Kumar Sharma ","[ ""Hindi"" ]","Service","Delhi","16-09-1963","Male"
"Anil Marwah","[ ""Hindi"", ""Punjabi"" ]","Service","Delhi","11-05-1966","Male"
"Anil kumar","[ ""Hindi"" ]","Student","Delhi","11-07-1996","Male"
"Aniruddh","[ ""Hindi"" ]","Student","Rajasthan","14-04-2003","Male"
"AniruddhAggarwal","[ ""Hindi"" ]","Student","Rajasthan","14-04-2003","Male"
"Anita Goel","[ ""Hindi"" ]","Others","Delhi","30-04-1998","Female"
"AnjaliUjjainia","[ ""Hindi"", ""Rajasthani"" ]","Student","Delhi","29-06-1995","Female"
"Anju","[ ""Hindi"" ]","Self-employed","Bihar","01-09-1971","Female"
"Ankit","[ ""Hindi"" ]","Student","Delhi","14-08-1988","Male"
"Ankur ","[ ""Hindi"" ]","Student","Delhi","10-09-1995","Male"
"Ankur Rastogi","[ ""Hindi"" ]","Student","Delhi","29-04-1997","Male"
"Ankur Sharma","[ ""Hindi"" ]","Student","Delhi","21-10-1996","Male"
"Anmol18","[ ""Hindi"" ]","Student","Andhra Pradesh","18-11-1997","Male"
"Anshul","[ ""Hindi"" ]","Service","Delhi","14-09-1993","Male"
"Anshuman Suri","[ ""Hindi"" ]","Student","Delhi","09-03-1996","Male"
"Anubhav","[ ""Hindi"" ]","Student","Delhi","25-12-1997","Male"
"Anudita","[ ""Hindi"" ]","Service","Delhi","18-06-1970","Female"
"Anuprriya","[ ""Hindi"" ]","Student","Delhi","13-02-1981","Female"
"Anusha Raj","[ ""Hindi"" ]","Student","Rajasthan","20-05-1998","Female"
"Anvit","[ ""Hindi"" ]","Student","Delhi","24-05-1998","Male"
"Any","[ ""Hindi"" ]","Student","Delhi","15-09-1997","Male"
"Apoorv","[ ""Hindi"" ]","Student","Delhi","11-06-1999","Male"
"Apurupa","[ ""Hindi"", ""Telugu"" ]","Student","Andhra Pradesh","05-08-1994","Female"
"Arashdeep ","[ ""Hindi"", ""Punjabi"" ]","Student","Punjab","09-09-1991","Female"
"Arashdeep Kaur","[ ""Hindi"", ""Punjabi"" ]","Student","Punjab","09-09-1991","Female"
"Archana","[ ""Hindi"" ]","Others","Delhi","03-03-1973","Female"
"Arjun13022","[ ""Hindi"" ]","Student","Delhi","02-09-1995","Male"
"Arnav Kumar","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","16-10-1997","Male"
"Arun","[ ""Hindi"" ]","Self-employed","Delhi","20-01-1969","Male"
"Arun Garg","[ ""Hindi"" ]","Self-employed","Delhi","02-01-1968","Male"
"Arun Kumar Gupta","[ ""Hindi"" ]","Service","Delhi","07-04-1970","Male"
"Arushi_kapoor","[ ""Hindi"" ]","Student","Uttar Pradesh","01-08-1997","Female"
"Asad","[ ""Hindi"", ""Urdu"" ]","Student","Chhattisgarh","20-01-1990","Male"
"Ashish","[ ""Hindi"" ]","Student","Delhi","15-12-1997","Male"
"Ashish07","[ ""Hindi"" ]","Student","Delhi","21-03-1998","Male"
"Ashish16021","[ ""Hindi"" ]","Student","Delhi","21-03-1998","Male"
"Ashish_16","[ ""Hindi"" ]","Student","Delhi","05-10-1999","Male"
"Ashok","[ ""Hindi"" ]","Service","Delhi","16-11-1965","Male"
"Ashok Kumar","[ ""Hindi"" ]","Self-employed","Delhi","15-10-1964","Male"
"Ashutosh Brahma","[ ""Hindi"", ""Bengali"", ""Punjabi"", ""Tamil"", ""Telugu"", ""Bhojpuri"", ""Marathi"", ""Oriya"" ]","Service","Odisha","26-05-1988","Male"
"Astitv","[ ""Hindi"" ]","Student","Delhi","01-06-1996","Male"
"Avadh","[ ""Hindi"" ]","Self-employed","Rajasthan","03-07-1969","Male"
"Avdesh Kumar","[ ""Hindi"" ]","Student","Delhi","19-01-1997","Male"
"Avinash","[ ""Hindi"" ]","Service","Delhi","16-09-1971","Male"
"Avneet","[ ""Hindi"" ]","Student","Delhi","08-01-1999","Female"
"Aysha","[ ""Hindi"", ""Telugu"", ""Nepali"", ""Urdu"" ]","Student","Andhra Pradesh","23-03-1998","Female"
"Ayush Raj Mehrotra ","[ ""Hindi"" ]","Student","Delhi","07-02-1999","Male"
"Bajajsushil","[ ""Hindi"", ""Punjabi"", ""Haryanvi"" ]","Service","Haryana","01-04-1967","Male"
"Bharat70","[ ""Hindi"" ]","Self-employed","Delhi","15-08-1970","Male"
"Bhaskar","[ ""Hindi"" ]","Student","Delhi","02-12-1997","Male"
"Bhaskar@123","[]","Student","Delhi","02-12-1997","Male"
"Bhaskarverma725","[ ""Hindi"" ]","Student","Delhi","02-12-1997","Male"
"BhatiaCo","[ ""Hindi"" ]","Student","Andhra Pradesh","07-03-1965","Male"
"Bhawani","[ ""Hindi"" ]","Others","Delhi","20-02-1998","Male"
"Bhuwan Pathak","[ ""Hindi"" ]","Retired","Delhi","16-10-1950","Male"
"Bijla_Rana","[ ""Hindi"" ]","Others","Uttarakhand","03-10-1976","Female"
"BlueO","[ ""Hindi"" ]","Student","Delhi","12-03-1997","Male"
"Bsyadav","[ ""Hindi"" ]","Service","Delhi","16-12-1966","Male"
"Ch1ck3n65","[ ""Hindi"", ""Bhojpuri"" ]","Student","Delhi","01-01-1998","Male"
"Champa72","[ ""Hindi"" ]","Others","Delhi","28-11-1972","Female"
"Chanchal","[ ""Hindi"" ]","Student","Delhi","28-04-1995","Female"
"Chanderkala","[ ""Hindi"" ]","Service","Delhi","25-08-1967","Female"
"Cheerag ","[ ""Hindi"" ]","Service","Haryana","08-08-1993","Male"
"Cheerag 8","[ ""Hindi"" ]","Service","Haryana","08-08-1993","Male"
"Cheerag Duggal ","[ ""Hindi"" ]","Service","Haryana","08-08-1993","Male"
"Cheerag1","[ ""Hindi"" ]","Student","Andhra Pradesh","08-08-1995","Male"
"Cheerag7","[ ""Hindi"" ]","Student","Delhi","08-08-1993","Male"
"Cheffy","[ ""Hindi"", ""Punjabi"" ]","Service","Andhra Pradesh","23-10-1993","Female"
"Chita Chidambaram","[ ""Hindi"" ]","Service","Delhi","21-01-1964","Female"
"Chudail","[ ""Hindi"" ]","Service","Maharashtra","11-08-1964","Male"
"Cloak98","[ ""Hindi"" ]","Service","Uttar Pradesh","12-04-1971","Male"
"CoolSatyam","[ ""Hindi"" ]","Student","Delhi","12-03-1997","Male"
"Cosmopal","[ ""Hindi"" ]","Student","Delhi","27-12-1997","Male"
"D.Saksham","[ ""Hindi"" ]","Student","Delhi","06-11-1996","Male"
"D1","[ ""Hindi"" ]","Student","Nagaland","18-12-1995","Male"
"Daljeet","[ ""Hindi"", ""Punjabi"" ]","Others","Delhi","08-04-1958","Female"
"Dangi","[ ""Hindi"" ]","Service","Haryana","03-11-1973","Male"
"Darthcoder","[ ""Hindi"", ""Punjabi"" ]","Service","Haryana","13-05-1994","Male"
"DauntlessTris","[ ""Hindi"" ]","Student","Chhattisgarh","03-04-2008","Female"
"Deadpool2","[ ""Hindi"" ]","Student","Delhi","10-11-1992","Male"
"Dee","[ ""Hindi"" ]","Student","Delhi","12-06-1998","Female"
"Deeksha","[ ""Hindi"" ]","Student","Uttar Pradesh","10-06-1992","Female"
"Deeksha ","[ ""Hindi"" ]","Student","Uttar Pradesh","10-06-1992","Female"
"Deepak","[ ""Hindi"" ]","Student","Delhi","15-07-1997","Male"
"Deepak _ca2004","[ ""Hindi"" ]","Self-employed","Delhi","02-11-1965","Male"
"Deepti","[ ""Hindi"" ]","Student","Uttar Pradesh","07-06-2000","Female"
"Deepu singh","[ ""Hindi"" ]","Student","Delhi","10-11-1997","Male"
"Dehati","[ ""Hindi"" ]","Service","Maharashtra","07-09-1967","Male"
"Devi Prasad jena","[ ""Hindi"" ]","Student","Andhra Pradesh","17-05-1993","Male"
"Dewangee","[ ""Hindi"" ]","Student","Delhi","12-06-1998","Female"
"Dhruv Bhagat","[ ""Hindi"" ]","Student","Delhi","08-09-1998","Male"
"Diadem98","[ ""Hindi"" ]","Others","Uttar Pradesh","10-09-1971","Female"
"Dicksha","[ ""Hindi"" ]","Student","Delhi","09-12-1992","Female"
"Dimpi","[ ""Hindi"", ""Punjabi"" ]","Service","Delhi","13-12-1984","Female"
"Dimple","[ ""Hindi"" ]","Self-employed","Rajasthan","31-07-1973","Female"
"Divij","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","03-02-1999","Male"
"Divya","[ ""Hindi"" ]","Others","Haryana","12-12-1993","Female"
"Divya95","[ ""Hindi"" ]","Student","Delhi","29-03-1995","Female"
"Dush","[ ""Hindi"" ]","Service","Delhi","30-09-1993","Male"
"Ekta","[ ""Hindi"" ]","Self-employed","Arunachal Pradesh","15-12-1975","Female"
"Ekta Rawat","[ ""Hindi"" ]","Service","Uttar Pradesh","14-03-1985","Female"
"Erised98","[ ""Hindi"" ]","Student","Delhi","18-03-1998","Female"
"Faiz","[ ""Hindi"" ]","Student","Delhi","22-04-1998","Male"
"Fazilath","[ ""Hindi"", ""Urdu"" ]","Student","Andhra Pradesh","23-03-1998","Female"
"Feeroz Ahmed","[ ""Hindi"" ]","Service","Delhi","10-04-1981","Male"
"GandiHrideysh1","[ ""Hindi"" ]","Student","Bihar","01-02-1991","Male"
"Gaurav sharma","[ ""Hindi"" ]","Student","Delhi","17-06-1998","Male"
"Gautam","[ ""Hindi"" ]","Service","Delhi","06-08-1993","Male"
"Geeta","[ ""Hindi"" ]","Others","Delhi","10-06-1974","Female"
"Ghansham Bansal","[ ""Hindi"" ]","Service","Delhi","02-01-1965","Male"
"Ginnik","[ ""Hindi"" ]","Student","Delhi","30-09-2000","Female"
"Gita","[ ""Hindi"", ""Punjabi"" ]","Others","Punjab","31-05-1970","Female"
"Gitasharma","[ ""Hindi"" ]","Student","Andhra Pradesh","--","Male"
"Gitasharma92","[ ""Hindi"", ""Bengali"", ""Punjabi"", ""Assamese"" ]","Service","Assam","01-07-1966","Female"
"Gotuhell","[ ""Hindi"" ]","Student","Delhi","13-08-1998","Male"
"Gunkirat","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","16-03-1997","Female"
"Guruji_Deadpool","[ ""Hindi"" ]","Student","Delhi","15-12-1997","Male"
"Hamid Akhtar","[ ""Hindi"", ""Urdu"" ]","Service","Delhi","04-11-1966","Male"
"Harjeet","[ ""Hindi"", ""Punjabi"" ]","Self-employed","Delhi","21-08-1956","Male"
"Harsh","[ ""Hindi"" ]","Student","Delhi","09-03-1998","Male"
"Harshit panwar","[ ""Hindi"" ]","Student","Delhi","30-06-1998","Male"
"Hasan Jawaid Khan","[ ""Hindi"" ]","Service","Delhi","05-11-1963","Male"
"Haseena","[ ""Hindi"", ""Urdu"" ]","Student","Andhra Pradesh","14-04-1974","Male"
"Hedwig30","[ ""Hindi"" ]","Service","Delhi","05-05-1989","Female"
"Himanshi","[ ""Hindi"" ]","Student","Delhi","10-03-1993","Female"
"Himanshu Sharma ","[ ""Hindi"" ]","Student","Uttar Pradesh","02-07-1995","Male"
"Hina","[ ""Hindi"", ""Urdu"" ]","Service","Delhi","16-10-1971","Female"
"Hina ","[ ""Hindi"", ""Urdu"" ]","Service","Delhi","16-10-1971","Female"
"Holmesfan","[ ""Hindi"" ]","Others","Maharashtra","01-01-1978","Female"
"Ishaan Bassi","[ ""Hindi"" ]","Student","Delhi","25-12-1997","Male"
"Ishan","[ ""Hindi"", ""Bengali"", ""Punjabi"", ""Tamil"", ""Telugu"", ""Kannada"", ""Bhojpuri"", ""Malayalam"", ""Gujarati"", ""Haryanvi"", ""Marathi"", ""Konkani"", ""Manipuri"", ""Oriya"", ""Nepali"", ""Rajasthani"", ""Urdu"", ""Assamese"" ]","Student","Goa","03-03-2010","Male"
"JKLM ABCDEFGHI","[ ""Hindi"" ]","Service","Delhi","26-01-1975","Male"
"Jasbir panwar","[ ""Hindi"" ]","Self-employed","Delhi","30-05-1964","Male"
"Jatin_aggarwal","[ ""Hindi"" ]","Service","Delhi","05-05-1994","Male"
"KIRA","[ ""Hindi"" ]","Student","Delhi","23-08-1998","Male"
"Kajal","[ ""Hindi"" ]","Self-employed","Delhi","21-08-1980","Female"
"Kalpana ","[ ""Hindi"" ]","Others","Delhi","19-01-1970","Female"
"Kanika","[ ""Hindi"" ]","Service","Delhi","25-01-1994","Female"
"Kanika Jain ","[ ""Hindi"" ]","Student","Delhi","04-02-1993","Female"
"Kanupriya Dang","[ ""Hindi"" ]","Student","Delhi","13-04-1994","Female"
"Kapeesh","[ ""Hindi"", ""Punjabi"" ]","Student","Punjab","18-08-1998","Male"
"Kapish","[ ""Hindi"" ]","Student","Delhi","08-08-1991","Male"
"Karish08","[ ""Hindi"" ]","Student","Madhya Pradesh","08-01-1992","Female"
"Karishma","[ ""Hindi"" ]","Student","Uttar Pradesh","13-04-1997","Female"
"Karunakar Singh","[ ""Hindi"" ]","Student","Delhi","05-11-2001","Male"
"Kasturi","[ ""Hindi"" ]","Retired","Delhi","05-09-1941","Female"
"Kavya ","[ ""Hindi"" ]","Service","Uttar Pradesh","05-09-1992","Female"
"Keeru24","[ ""Hindi"", ""Tamil"", ""Kannada"" ]","Others","Karnataka","01-01-1988","Male"
"Khan","[ ""Hindi"", ""Urdu"" ]","Student","Uttar Pradesh","07-02-1990","Male"
"Khushi","[ ""Hindi"" ]","Student","Delhi","03-05-2002","Female"
"Kiran","[ ""Hindi"" ]","Student","Delhi","25-04-1997","Female"
"Krishna","[ ""Hindi"" ]","Others","Delhi","05-05-1949","Female"
"Kunal","[ ""Hindi"", ""Punjabi"", ""Rajasthani"" ]","Student","Delhi","21-10-1997","Male"
"Kundan","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","15-05-1968","Male"
"Kushagra Arora","[ ""Hindi"" ]","Student","Delhi","18-02-1997","Male"
"LATA007","[ ""Hindi"" ]","Service","Delhi","26-11-1981","Female"
"Lakshya","[ ""Hindi"" ]","Student","Delhi","18-07-1998","Male"
"Lalita Gagneja","[ ""Hindi"", ""Punjabi"" ]","Service","Delhi","04-12-1976","Female"
"Lalitha","[ ""Hindi"" ]","Self-employed","Bihar","02-02-1972","Male"
"Lekh Raj","[ ""Hindi"" ]","Service","Delhi","20-09-1969","Male"
"Lokender Singh","[ ""Hindi"" ]","Student","Delhi","24-05-1999","Male"
"Lokeshmaini","[ ""Hindi"", ""Punjabi"" ]","Service","Punjab","16-03-1994","Male"
"LovedeepChhokra","[ ""Hindi"" ]","Service","Delhi","23-01-1998","Male"
"Lovedeep_Chhokra","[ ""Punjabi"" ]","Service","Delhi","23-01-1998","Male"
"M H Akhtar","[ ""Hindi"", ""Urdu"" ]","Student","Delhi","04-11-1966","Male"
"Madan","[ ""Hindi"" ]","Retired","Bihar","15-10-1945","Male"
"MaddyThakker","[ ""Hindi"" ]","Student","Delhi","13-09-1998","Male"
"Madhav","[ ""Hindi"" ]","Others","Delhi","16-05-1993","Male"
"Madhav Goel","[ ""Hindi"" ]","Student","Andhra Pradesh","23-07-2001","Male"
"Madhav Thakker ","[ ""Hindi"" ]","Student","Delhi","16-08-1998","Male"
"MadhurV9784","[ ""Hindi"" ]","Student","Rajasthan","20-09-1997","Male"
"Mahi","[ ""Hindi"" ]","Student","Uttar Pradesh","26-03-1994","Female"
"Mahima","[ ""Hindi"" ]","Student","Uttar Pradesh","30-10-1993","Female"
"Mahima Verma","[ ""Hindi"" ]","Student","Delhi","24-08-1997","Female"
"MalikMishra","[ ""Hindi"", ""Bhojpuri"" ]","Service","Bihar","20-03-1996","Male"
"Manas","[ ""Hindi"" ]","Student","Delhi","08-08-1997","Male"
"Mani","[ ""Hindi"", ""Punjabi"" ]","Student","Delhi","09-04-1990","Female"
"Manish","[ ""Hindi"" ]","Student","Delhi","27-01-1997","Male"
"Manmeet","[ ""Hindi"", ""Punjabi"" ]","Service","Delhi","29-12-1991","Female"
"Manveer__Rana","[ ""Hindi"" ]","Service","Uttarakhand","15-03-1973","Male"
"Mayanksinghal","[ ""Hindi"" ]","Service","Haryana","29-08-1985","Male"
"Meenakshi Garg","[ ""Hindi"" ]","Student","Delhi","22-10-1975","Female"
"Megha","[ ""Hindi"" ]","Student","Delhi","12-10-1993","Female"
"Meghaa","[ ""Hindi"" ]","Service","Delhi","22-11-1990","Female"
"Mkverma","[ ""Hindi"", ""Bhojpuri"" ]","Retired","Delhi","06-11-1948","Male"
"Mohd Kashif","[ ""Hindi"", ""Punjabi"", ""Tamil"", ""Bhojpuri"", ""Haryanvi"" ]","Student","Delhi","01-01-1993","Male"
"Mohd Kashif2","[ ""Hindi"", ""Punjabi"", ""Tamil"", ""Bhojpuri"", ""Haryanvi"" ]","Student","Delhi","01-01-1993","Male"
"Mona","[ ""Hindi"" ]","Others","Delhi","26-12-1971","Female"
"Mr.CA005","[ ""Hindi"" ]","Student","Delhi","24-10-1996","Male"
"MrCruiser","[ ""Hindi"" ]","Student","Delhi","26-09-1994","Male"
"Mrakash","[ ""Hindi"" ]","Student","Delhi","16-06-1997","Male"
"Mudit Goel","[ ""Hindi"" ]","Student","Delhi","30-04-1998","Male"
"Mudit goel","[ ""Hindi"" ]","Student","Delhi","30-04-1998","Male"
"Mugen","[ ""Hindi"" ]","Student","Kerala","17-08-1997","Male"
"Mukesh_Rawat","[ ""Hindi"" ]","Student","Delhi","08-05-1996","Male"
"Mukki_Rana","[ ""Hindi"" ]","Student","Delhi","26-09-1996","Male"
"Mukulmimmo","[ ""Hindi"" ]","Student","Uttar Pradesh","18-12-1990","Male"
"Munish","[ ""Hindi"" ]","Student","Uttar Pradesh","19-12-1997","Male"
"NAKUL","[ ""Hindi"" ]","Student","Himachal Pradesh","18-10-1999","Male"
"ND","[ ""Hindi"" ]","Student","Delhi","08-05-1995","Male"
"NSB64","[ ""Hindi"" ]","Service","Delhi","31-04-1964","Male"
"NSB64_","[ ""Hindi"" ]","Service","Delhi","31-04-1964","Male"
"Nabeel Ahmad","[ ""Hindi"" ]","Student","Delhi","05-06-1982","Male"
"Nakul","[ ""Hindi"" ]","Student","Chhattisgarh","09-09-1998","Male"
"Nakul lawaria","[ ""Hindi"" ]","Student","Andhra Pradesh","25-11-1992","Male"
"Namrata13065","[ ""Hindi"", ""Assamese"" ]","Student","Assam","10-07-1994","Female"
"Nandini","[ ""Hindi"" ]","Student","Delhi","01-05-2003","Female"
"Naresh","[ ""Hindi"" ]","Service","Delhi","10-04-1966","Male"
"NareshJain","[ ""Hindi"" ]","Retired","Madhya Pradesh","25-10-1941","Male"
"Naveen","[ ""Hindi"" ]","Student","Gujarat","04-05-2011","Male"
"Naveenchd","[ ""Hindi"" ]","Service","Punjab","06-12-1972","Male"
"Navin","[]","Self-employed","Delhi","05-06-1971","Male"
"Nawazish","[ ""Hindi"", ""Urdu"" ]","Student","Delhi","18-07-1996","Male"
"Nbhatia","[ ""Hindi"" ]","Student","Delhi","11-09-1960","Male"
"Neera","[ ""Hindi"" ]","Self-employed","Delhi","22-09-1975","Female"
"Neeti Arora","[ ""Hindi"" ]","Student","Delhi","29-03-1992","Female"
"Neetu","[ ""Hindi"" ]","Student","Delhi","17-05-1998","Male"
"Neetu Singh","[ ""Hindi"" ]","Self-employed","Delhi","13-01-1975","Female"
"Neha Sharma","[ ""Hindi"" ]","Service","Delhi","08-12-1990","Male"
"Nepun Suneja","[ ""Hindi"" ]","Service","Delhi","03-03-1980","Male"
"Nilesh","[ ""Hindi"" ]","Student","Delhi","18-02-1995","Male"
"Nishad Bhelekar","[ ""Hindi"" ]","Student","Maharashtra","10-11-1998","Male"
"Nitin Kumar","[ ""Hindi"" ]","Student","Delhi","30-04-1998","Male"
"Nitin13070","[ ""Hindi"" ]","Student","Delhi","07-02-1995","Male"
"Om Prakash","[ ""Hindi"" ]","Service","Delhi","11-07-1966","Male"
"PAPA","[ ""Hindi"" ]","Student","Delhi","25-08-1999","Male"
"Pandeyji","[ ""Hindi"" ]","Student","Andhra Pradesh","25-11-1998","Male"
"Parth ","[ ""Hindi"" ]","Student","Uttar Pradesh","19-06-1996","Male"
"Pkaksha","[ ""Hindi"" ]","Student","Delhi","18-10-1993","Male"
"Poonam duggal","[ ""Hindi"" ]","Self-employed","Haryana","19-07-1968","Female"
"Poonamsaini","[ ""Hindi"" ]","Self-employed","Delhi","23-02-1970","Female"
"Pradeep ","[ ""Hindi"" ]","Self-employed","Haryana","20-11-1965","Male"
"Pradeep Sharma","[ ""Hindi"" ]","Service","Delhi","02-04-1961","Male"
"Pradeep Wason","[ ""Hindi"" ]","Service","Delhi","06-02-1969","Male"
"Prakashb","[ ""Hindi"" ]","Service","Delhi","07-01-1970","Male"
"Pramod_Agg","[ ""Hindi"" ]","Self-employed","Delhi","26-01-1961","Male"
"Pramodh","[ ""Hindi"" ]","Student","Delhi","12-07-1965","Male"
"PrateekSingh","[ ""Hindi"" ]","Student","Delhi","03-06-1994","Male"
"Preeti","[ ""Hindi"" ]","Others","Uttar Pradesh","18-11-1969","Female"
"Prem","[ ""Hindi"" ]","Student","Andhra Pradesh","--","Male"
"PremL","[ ""Hindi"" ]","Others","Himachal Pradesh","-03-1971","Female"
"Prema","[ ""Hindi"" ]","Student","Delhi","06-09-1993","Female"
"Prerna","[ ""Hindi"" ]","Student","Delhi","06-09-1993","Female"
"Prerna Agarwal","[ ""Hindi"" ]","Student","Delhi","04-04-2010","Female"
"Prince patel","[ ""Hindi"" ]","Student","Chhattisgarh","14-07-1992","Male"
"Priya15073","[ ""Hindi"" ]","Student","Delhi","14-06-1997","Female"
"Priysha20","[ ""Hindi"" ]","Self-employed","Delhi","11-12-1998","Female"
"Protichi","[ ""Hindi"", ""Bengali"" ]","Student","Delhi","02-07-1995","Female"
"REVERB283","[ ""Hindi"" ]","Student","Delhi","12-01-1998","Male"
"Radhikakedia","[ ""Hindi"" ]","Student","Uttar Pradesh","01-03-1999","Female"
"Raghav","[ ""Hindi"" ]","Student","Delhi","06-11-1997","Male"
"Raghav Verma","[ ""Hindi"" ]","Student","Delhi","27-10-2000","Male"
"Raghav1","[ ""Hindi"" ]","Student","Delhi","06-11-1997","Male"
"Raghavv","[ ""Hindi"" ]","Student","Delhi","02-02-1998","Male"
"Rahul","[ ""Hindi"" ]","Student","Delhi","20-01-1998","Male"
"Rahul Bansal","[ ""Hindi"" ]","Service","Haryana","20-05-1986","Male"
"Raj Kamal","[ ""Hindi"" ]","Student","Delhi","05-07-1999","Male"
"Raj Kumar","[ ""Hindi"" ]","Self-employed","Delhi","15-05-1978","Male"
"Rajesh","[ ""Hindi"" ]","Service","Delhi","02-12-1997","Male"
"Rajesh Bhagat","[ ""Hindi"" ]","Self-employed","Delhi","01-11-1970","Male"
"RajeshVerma","[ ""Hindi"", ""Punjabi"" ]","Service","Delhi","20-03-1969","Male"
"Rajeshidh","[ ""Hindi"" ]","Service","Delhi","12-01-1969","Male"
"Rajni Gupta","[ ""Hindi"" ]","Others","Delhi","29-04-1974","Female"
"Rakesh123","[ ""Hindi"" ]","Student","Delhi","18-12-1965","Male"
"Ralph ","[ ""Hindi"" ]","Student","Delhi","16-08-1994","Male"
"Ram","[ ""Tamil"", ""Kannada"" ]","Others","Karnataka","25-03-1993","Male"
"Ramanathan","[ ""Hindi"" ]","Service","Tamil Nadu","08-11-1965","Male"
"Rashi.prakash8","[ ""Hindi"" ]","Student","Uttar Pradesh","02-10-1995","Female"
"Ratan","[ ""Hindi"", ""Kannada"" ]","Others","Karnataka","07-10-1993","Male"
"Raulgarg","[ ""Hindi"" ]","Self-employed","Andhra Pradesh","01-08-1980","Male"
"Redusa","[ ""Hindi"" ]","Student","Delhi","09-02-1998","Male"
"Ric","[ ""Hindi"" ]","Student","Andhra Pradesh","--","Male"
"Rich","[ ""Hindi"" ]","Student","Andhra Pradesh","05-02-2010","Male"
"Richa","[ ""Hindi"" ]","Student","Delhi","22-03-1993","Female"
"Richa Goel","[ ""Hindi"" ]","Student","Delhi","30-04-1998","Male"
"Richa Verma","[ ""Hindi"", ""Bengali"" ]","Student","Delhi","02-04-2009","Female"
"Richa2","[ ""Hindi"" ]","Student","Andhra Pradesh","05-03-2008","Male"
"RichaGoswami","[ ""Hindi"" ]","Student","Delhi","05-06-1998","Female"
"RichaS7","[ ""Hindi"" ]","Service","Andhra Pradesh","01-03-1994","Female"
"Rimjhim","[ ""Hindi"" ]","Student","Rajasthan","30-07-1999","Female"
"RishabhGoswami","[ ""Hindi"" ]","Student","Delhi","09-10-1999","Male"
"Rishi","[ ""Hindi"" ]","Student","Uttar Pradesh","10-10-1991","Male"
